sigma,label
24.836,0
33.171,0
34.899,0
30.866,0
25.136,0
32.731,0
25.304,0
34.337,0
32.83,0
36.85,0
28.18,0
34.614,0
22.083,0
32.231,0
31.39,0
33.842,0
25.046,0
34.449,0
32.951,0
29.59,0
36.129,0
26.439,0
34.382,0
28.349,0
35.533,0
35.584,0
34.642,0
27.611,0
27.205,0
36.66,0
26.242,0
34.109,0
24.243,0
30.868,0
27.878,0
34.658,0
32.407,0
36.635,0
34.588,0
36.103,0
36.78,0
32.25,0
35.467,0
36.892,0
35.901,0
35.552,0
29.434,0
30.602,0
30.269,0
36.013,0
27.072,0
34.924,0
36.023,0
34.436,0
24.578,0
32.264,0
33.765,0
36.337,0
35.486,0
33.94,0
33.758,0
34.532,0
27.754,0
33.665,0
32.229,0
33.932,0
25.554,0
30.725,0
34.413,0
35.181,0
34.858,0
33.806,0
32.547,0
36.224,0
27.315,0
34.935,0
33.429,0
29.611,0
35.5,0
36.717,0
24.184,0
34.613,0
35.8,0
35.062,0
27.681,0
35.449,0
33.848,0
33.692,0
34.173,0
27.142,0
24.542,0
35.595,0
31.693,0
36.528,0
29.573,0
33.773,0
30.13,0
34.775,0
35.207,0
33.218,0
35.135,0
27.004,0
31.823,0
30.189,0
31.357,0
36.003,0
34.998,0
35.385,0
31.914,0
33.481,0
35.062,0
33.625,0
24.229,0
35.208,0
26.73,0
33.943,0
36.92,0
31.45,0
32.474,0
31.519,0
23.744,0
34.782,0
30.195,0
32.991,0
34.725,0
36.615,0
36.582,0
27.492,0
22.443,0
32.3,0
31.065,0
29.421,0
23.968,0
36.031,0
33.512,0
33.66,0
29.144,0
36.452,0
29.497,0
20.8,0
33.751,0
35.385,0
35.138,0
32.273,0
30.25,0
36.059,0
30.935,0
35.663,0
35.011,0
26.22,0
31.427,0
26.689,0
32.775,0
32.089,0
26.873,0
33.162,0
36.046,0
34.76,0
28.016,0
32.017,0
36.588,0
34.45,0
36.39,0
24.156,0
33.842,0
30.318,0
27.407,0
35.517,0
25.359,0
33.423,0
28.105,0
29.814,0
32.576,0
29.027,0
34.515,0
35.565,0
32.032,0
31.58,0
30.385,0
28.726,0
33.875,0
35.777,0
27.972,0
36.918,0
33.824,0
36.777,0
34.92,0
28.706,0
33.678,0
26.416,0
36.926,0
23.356,0
34.404,0
32.931,0
30.024,0
32.801,0
35.986,0
28.338,0
32.159,0
28.947,0
35.351,0
35.383,0
29.457,0
34.884,0
34.022,0
32.949,0
34.054,0
36.002,0
34.036,0
31.854,0
30.63,0
28.905,0
34.816,0
36.294,0
31.517,0
29.456,0
32.185,0
33.793,0
35.857,0
30.035,0
30.945,0
24.782,0
32.98,0
35.463,0
29.154,0
30.672,0
35.502,0
32.246,0
34.634,0
33.413,0
35.62,0
29.395,0
22.047,0
36.375,0
19.768,0
31.427,0
33.772,0
33.7,0
28.739,0
24.693,0
35.712,0
36.008,0
23.461,0
30.524,0
34.568,0
32.252,0
31.887,0
21.351,0
34.154,0
33.734,0
34.335,0
33.465,0
36.521,0
31.171,0
27.184,0
36.98,0
27.176,0
35.869,0
32.828,0
35.755,0
36.999,0
31.451,0
35.609,0
36.598,0
32.381,0
34.864,0
35.191,0
35.878,0
20.994,0
34.678,0
36.179,0
32.055,0
23.439,0
26.61,0
33.7,0
34.32,0
27.701,0
30.758,0
27.162,0
35.675,0
36.099,0
35.475,0
28.574,0
28.191,0
33.927,0
30.388,0
31.161,0
28.842,0
24.207,0
35.569,0
35.723,0
36.747,0
33.745,0
31.619,0
33.561,0
34.412,0
33.415,0
27.207,0
28.715,0
26.809,0
35.054,0
29.657,0
34.798,0
28.787,0
35.937,0
23.741,0
34.931,0
34.726,0
34.649,0
35.176,0
28.071,0
34.363,0
33.24,0
25.85,0
34.236,0
35.598,0
28.897,0
32.796,0
30.686,0
36.252,0
24.51,0
33.9,0
32.394,0
35.837,0
33.903,0
27.156,0
30.661,0
35.132,0
35.067,0
30.993,0
33.928,0
31.871,0
35.78,0
34.459,0
35.103,0
30.605,0
31.234,0
25.327,0
31.218,0
21.301,0
34.244,0
36.133,0
24.571,0
31.455,0
34.354,0
36.587,0
29.717,0
28.67,0
34.082,0
28.071,0
33.706,0
31.8,0
27.254,0
35.101,0
31.718,0
30.301,0
26.68,0
33.805,0
34.37,0
27.803,0
30.211,0
26.92,0
35.834,0
32.869,0
35.083,0
36.112,0
36.981,0
33.416,0
35.813,0
19.751,0
35.543,0
33.8,0
35.682,0
27.837,0
31.998,0
30.959,0
31.915,0
33.656,0
36.45,0
35.436,0
33.26,0
31.409,0
35.051,0
33.256,0
31.816,0
34.756,0
35.858,0
30.977,0
25.779,0
34.333,0
25.923,0
17.885,0
34.918,0
35.735,0
23.072,0
31.101,0
36.553,0
34.256,0
35.832,0
34.168,0
36.295,0
34.241,0
30.541,0
32.85,0
34.159,0
31.574,0
34.947,0
36.375,0
29.327,0
31.843,0
20.504,0
35.92,0
36.891,0
33.784,0
31.168,0
33.413,0
26.991,0
30.662,0
35.099,0
29.186,0
34.228,0
32.259,0
32.893,0
34.644,0
33.197,0
23.695,0
35.825,0
27.576,0
35.799,0
32.297,0
33.816,0
31.758,0
26.1,0
32.528,0
34.953,0
34.106,0
30.168,0
26.173,0
34.518,0
32.489,0
36.296,0
30.157,0
33.229,0
33.74,0
31.3,0
32.538,0
34.671,0
28.407,0
34.96,0
21.587,0
28.087,0
31.414,0
22.459,0
33.83,0
30.332,0
33.293,0
30.411,0
33.204,0
29.216,0
30.014,0
34.543,0
35.654,0
24.309,0
27.137,0
28.833,0
34.316,0
32.74,0
23.874,0
31.967,0
28.727,0
26.655,0
34.792,0
29.739,0
33.757,0
31.838,0
32.939,0
29.593,0
32.033,0
33.614,0
34.614,0
28.305,0
31.497,0
33.181,0
25.846,0
36.587,0
33.625,0
36.14,0
26.361,0
34.59,0
25.605,0
25.725,0
30.129,0
36.28,0
35.301,0
35.698,0
33.901,0
33.288,0
33.363,0
34.301,0
27.906,0
30.191,0
33.842,0
30.994,0
26.057,0
23.922,0
29.042,0
34.337,0
33.81,0
31.238,0
29.174,0
33.539,0
32.985,0
31.625,0
24.926,0
36.746,0
26.638,0
34.189,0
27.582,0
32.269,0
36.261,0
28.806,0
28.776,0
33.112,0
30.949,0
29.222,0
36.511,0
30.766,0
35.964,0
34.133,0
36.994,0
32.589,0
33.333,0
32.54,0
30.471,0
35.052,0
28.848,0
34.876,0
36.417,0
35.072,0
33.013,0
27.596,0
27.566,0
36.698,0
25.557,0
30.924,0
27.155,0
32.483,0
28.053,0
34.793,0
29.229,0
28.148,0
33.702,0
31.849,0
24.284,0
23.481,0
34.134,0
33.985,0
32.173,0
34.926,0
31.413,0
36.643,0
31.439,0
34.616,0
36.567,0
33.836,0
36.003,0
29.293,0
34.296,0
30.931,0
28.711,0
33.559,0
35.182,0
33.419,0
32.434,0
35.777,0
23.892,0
30.268,0
26.143,0
29.108,0
31.387,0
35.723,0
29.072,0
35.731,0
34.134,0
35.421,0
29.812,0
36.58,0
36.112,0
34.952,0
29.948,0
34.767,0
33.882,0
29.683,0
25.968,0
36.853,0
32.754,0
36.297,0
26.888,0
32.942,0
29.718,0
36.382,0
34.593,0
16.04,0
36.94,0
34.317,0
33.797,0
31.107,0
27.213,0
32.496,0
34.623,0
35.955,0
30.168,0
29.211,0
34.676,0
36.611,0
33.297,0
36.106,0
34.477,0
34.006,0
25.233,0
20.264,0
36.121,0
19.58,0
20.016,0
26.409,0
29.836,0
20.594,0
34.646,0
31.202,0
24.713,0
35.618,0
27.148,0
33.696,0
27.517,0
26.716,0
30.155,0
29.599,0
34.528,0
35.232,0
33.428,0
33.857,0
32.37,0
35.211,0
27.882,0
30.261,0
27.414,0
32.887,0
35.199,0
34.081,0
27.278,0
27.05,0
30.27,0
36.995,0
29.376,0
32.058,0
28.058,0
26.255,0
25.873,0
34.91,0
30.149,0
26.66,0
30.187,0
33.299,0
23.99,0
29.056,0
35.889,0
36.901,0
36.269,0
27.792,0
35.018,0
36.846,0
34.851,0
33.266,0
31.377,0
32.387,0
34.207,0
31.091,0
26.799,0
34.545,0
36.271,0
28.166,0
28.35,0
36.453,0
32.276,0
30.859,0
36.223,0
28.922,0
34.695,0
24.44,0
30.96,0
33.063,0
33.832,0
24.93,0
31.07,0
32.45,0
20.516,0
36.283,0
26.277,0
28.575,0
36.403,0
35.929,0
32.957,0
32.237,0
36.341,0
26.113,0
36.009,0
36.836,0
33.346,0
33.402,0
33.692,0
29.357,0
36.235,0
34.371,0
29.765,0
31.625,0
36.258,0
27.028,0
35.994,0
22.346,0
34.279,0
35.547,0
32.253,0
32.516,0
23.821,0
25.854,0
31.496,0
29.103,0
27.058,0
26.758,0
33.317,0
36.825,0
35.399,0
22.212,0
28.643,0
28.853,0
29.758,0
33.731,0
26.798,0
36.798,0
31.186,0
36.958,0
30.892,0
25.078,0
34.113,0
32.247,0
34.598,0
28.528,0
28.198,0
33.361,0
30.797,0
35.6,0
31.52,0
35.566,0
28.242,0
30.882,0
31.7,0
22.751,0
35.334,0
34.89,0
31.605,0
30.84,0
36.539,0
26.542,0
31.564,0
32.152,0
36.546,0
29.684,0
31.872,0
36.788,0
30.197,0
36.86,0
30.371,0
31.377,0
22.891,0
24.113,0
30.893,0
27.945,0
30.435,0
33.267,0
31.435,0
32.562,0
36.828,0
35.005,0
29.954,0
32.47,0
28.861,0
30.853,0
25.683,0
29.47,0
34.71,0
32.732,0
35.175,0
20.696,0
35.862,0
35.024,0
36.091,0
31.066,0
36.976,0
34.071,0
35.462,0
24.743,0
36.568,0
35.547,0
31.567,0
36.325,0
32.315,0
30.095,0
36.051,0
35.275,0
35.028,0
34.89,0
35.894,0
26.562,0
22.58,0
30.552,0
28.434,0
31.087,0
30.608,0
31.928,0
32.632,0
33.54,0
20.243,0
36.105,0
30.102,0
22.033,0
25.888,0
27.733,0
35.578,0
35.952,0
36.891,0
35.835,0
31.969,0
31.902,0
28.537,0
23.806,0
23.056,0
33.515,0
26.461,0
35.163,0
32.939,0
18.043,0
30.518,0
27.594,0
26.799,0
27.286,0
28.156,0
36.569,0
33.837,0
30.532,0
35.072,0
25.489,0
34.047,0
28.38,0
33.552,0
33.717,0
26.323,0
36.793,0
34.97,0
34.532,0
36.273,0
27.258,0
30.049,0
32.753,0
30.512,0
33.812,0
31.656,0
28.747,0
29.336,0
21.34,0
33.391,0
29.043,0
34.627,0
35.482,0
34.093,0
35.877,0
35.822,0
30.532,0
35.815,0
24.228,0
35.965,0
32.344,0
21.846,0
